Year,State,Average Median Age by County,Average Household Income by County,Average Per Capita Income by County
2016,Alabama,40.25074626865672,38834.92537313433,21232.746268656716
2016,Alaska,36.62413793103448,64801.65517241379,31052.103448275862
2016,Arizona,39.61333333333333,44166.53333333333,21786.333333333332
2016,Arkansas,41.14,37503.72,20591.666666666668
2016,California,39.28103448275862,58091.24137931035,29025.793103448275
2016,Colorado,42.2453125,52243.59375,28369.71875
2016,Connecticut,41.3,72395.0,37998.125
2016,Delaware,40.800000000000004,58561.666666666664,29662.666666666668
2016,District of Columbia,33.8,72935.0,48781.0
2016,Florida,43.08656716417911,45205.37313432836,24164.462686567163
2016,Georgia,39.158490566037734,41727.54716981132,21334.98113207547
2016,Hawaii,43.64,66744.6,32644.6
2016,Idaho,39.49545454545454,44766.84090909091,22381.136363636364
2016,Illinois,41.385294117647064,51240.75490196078,26170.392156862745
2016,Indiana,40.05434782608695,50059.815217391304,24787.684782608696
2016,Iowa,41.98181818181818,51620.22222222222,27360.37373737374
2016,Kansas,41.50857142857142,48559.74285714285,25430.628571428573
2016,Kentucky,40.564166666666665,40051.058333333334,21318.166666666668
2016,Louisiana,37.4609375,41937.09375,22393.734375
2016,Maine,45.65,47553.3125,26496.125
2016,Maryland,40.65,70159.41666666667,33756.625
2016,Massachusetts,41.364285714285714,68007.28571428571,36664.42857142857
2016,Michigan,44.13132530120482,45654.156626506025,24387.87951807229
2016,Minnesota,41.809195402298855,55559.85057471264,28533.758620689656
2016,Mississippi,38.03170731707317,35626.41463414634,19353.09756097561
2016,Missouri,41.15913043478261,42781.321739130435,22047.104347826087
2016,Montana,44.4375,45575.67857142857,25891.98214285714
2016,Nebraska,43.60752688172043,49953.92473118279,26914.74193548387
2016,Nevada,42.34705882352941,55360.17647058824,27107.470588235294
2016,New Hampshire,43.96,62390.9,32780.7
2016,New Jersey,40.6,74407.66666666667,37057.333333333336
2016,New Mexico,41.32121212121212,40088.818181818184,22062.090909090908
2016,New York,41.10645161290322,56478.3870967742,28935.6935483871
2016,North Carolina,41.943000000000005,42707.56,23173.85
2016,North Dakota,43.22264150943396,57219.88679245283,32847.64150943396
2016,Ohio,40.67386363636364,49741.875,25190.284090909092
2016,Oklahoma,39.27922077922078,45040.5974025974,23327.68831168831
2016,Oregon,43.641666666666666,46481.13888888889,25212.63888888889
2016,Pennsylvania,42.767164179104476,51513.014925373136,26685.955223880595
2016,Puerto Rico,39.18974358974359,18200.73076923077,9870.653846153846
2016,Rhode Island,42.64,66994.8,36781.6
2016,South Carolina,40.65,40876.19565217391,22105.91304347826
2016,South Dakota,40.64848484848485,48783.77272727273,26209.378787878788
2016,Tennessee,41.729473684210525,41394.17894736842,22171.147368421054
2016,Texas,38.96692913385827,48039.81496062992,24076.55905511811
2016,Utah,34.06206896551724,56679.137931034486,23353.793103448275
2016,Vermont,44.24285714285714,53851.28571428572,29297.64285714286
2016,Virginia,41.57669172932331,54078.41353383459,27781.398496240603
2016,Washington,41.71025641025641,51859.743589743586,26547.923076923078
2016,West Virginia,43.49090909090909,40361.70909090909,22165.036363636365
2016,Wisconsin,43.03333333333333,51908.88888888889,27172.347222222223
2016,Wyoming,39.81304347826087,57060.13043478261,29585.130434782608
2017,Alabama,40.44925373134328,40271.40298507463,22180.492537313432
2017,Alaska,36.9448275862069,66425.44827586207,31670.55172413793
2017,Arizona,39.93333333333333,45816.666666666664,22712.2
2017,Arkansas,41.330666666666666,39025.08,21449.306666666667
2017,California,39.474137931034484,61046.75862068965,30416.48275862069
2017,Colorado,42.2765625,54353.5625,29647.046875
2017,Connecticut,41.575,74496.0,39419.125
2017,Delaware,41.13333333333333,61294.666666666664,31278.333333333332
2017,District of Columbia,33.9,77649.0,50832.0
2017,Florida,43.30298507462687,47144.32835820896,25265.97014925373
2017,Georgia,39.523899371069184,43268.78616352201,22305.30188679245
2017,Hawaii,44.06,68663.0,33930.6
2017,Idaho,39.893181818181816,46171.931818181816,23335.0
2017,Illinois,41.549019607843135,52930.382352941175,27255.21568627451
2017,Indiana,40.15869565217391,51877.40217391304,25817.608695652172
2017,Iowa,41.92626262626263,53436.080808080806,28497.666666666668
2017,Kansas,41.44285714285714,50022.57142857143,26215.561904761904
2017,Kentucky,40.71083333333333,41470.49166666667,22172.175
2017,Louisiana,37.703125,42654.078125,22939.03125
2017,Maine,45.90625,49680.8125,27791.3125
2017,Maryland,40.829166666666666,72541.16666666667,35127.791666666664
2017,Massachusetts,41.55714285714286,71030.71428571429,38478.71428571428
2017,Michigan,44.33855421686747,47530.51807228916,25595.710843373494
2017,Minnesota,41.825287356321844,57530.0,29711.57471264368
2017,Mississippi,38.15365853658537,37018.71951219512,20127.743902439026
2017,Missouri,41.286086956521736,44435.30434782609,23019.486956521738
2017,Montana,44.29821428571428,47746.75,27103.196428571428
2017,Nebraska,43.535483870967745,51928.354838709674,27940.795698924732
2017,Nevada,43.01764705882353,56859.0,28215.352941176472
2017,New Hampshire,44.2,64901.9,34212.9
2017,New Jersey,40.79047619047619,77047.76190476191,38538.619047619046
2017,New Mexico,41.60909090909091,41197.21212121212,22967.0
2017,New York,41.266129032258064,58309.25806451613,30045.354838709678
2017,North Carolina,42.18899999999999,44551.67,24339.2
2017,North Dakota,43.15094339622642,59795.96226415094,34084.22641509434
2017,Ohio,40.77727272727273,51742.204545454544,26332.69318181818
2017,Oklahoma,39.307792207792204,46219.857142857145,23887.61038961039
2017,Oregon,43.766666666666666,48502.5,26512.25
2017,Pennsylvania,42.93134328358209,53281.880597014926,27757.014925373136
2017,Puerto Rico,39.919230769230765,18412.94871794872,10244.961538461539
2017,Rhode Island,42.760000000000005,69906.4,38342.6
2017,South Carolina,40.891304347826086,42126.782608695656,22959.347826086956
2017,South Dakota,40.52272727272727,50408.742424242424,27241.60606060606
2017,Tennessee,41.85263157894737,43016.61052631579,23161.305263157894
2017,Texas,39.019291338582676,49894.33858267716,24859.01968503937
2017,Utah,34.241379310344826,59208.75862068965,24433.758620689656
2017,Vermont,44.57142857142857,55252.71428571428,30572.928571428572
2017,Virginia,41.75413533834587,56270.03759398496,28912.0
2017,Washington,41.84102564102564,54112.46153846154,27839.102564102563
2017,West Virginia,43.72,41701.90909090909,22859.618181818183
2017,Wisconsin,43.21666666666667,53849.416666666664,28390.166666666668
2017,Wyoming,39.8,59065.217391304344,30665.434782608696
2018,Alabama,40.63134328358209,41828.014925373136,23072.83582089552
2018,Alaska,36.97241379310345,67802.4827586207,32531.206896551725
2018,Arizona,40.233333333333334,47545.666666666664,23459.4
2018,Arkansas,41.428,40786.8,22442.733333333334
2018,California,39.606896551724134,64378.55172413793,32089.620689655174
2018,Colorado,42.4859375,56450.03125,30695.40625
2018,Connecticut,41.7,77068.875,41021.25
2018,Delaware,41.56666666666667,63541.333333333336,32643.333333333332
2018,District of Columbia,33.9,82604.0,53321.0
2018,Florida,43.56716417910448,49046.35820895522,26438.432835820895
2018,Georgia,39.73270440251572,45218.654088050316,23416.930817610064
2018,Hawaii,44.1,71935.4,35526.0
2018,Idaho,40.05681818181818,48432.38636363636,24397.136363636364
2018,Illinois,41.740196078431374,54839.617647058825,28297.50980392157
2018,Indiana,40.24782608695652,53914.510869565216,26846.782608695652
2018,Iowa,41.88787878787878,55159.92929292929,29415.60606060606
2018,Kansas,41.44761904761905,51182.933333333334,26895.514285714286
2018,Kentucky,40.8025,43063.575,23117.958333333332
2018,Louisiana,37.84375,43324.59375,23582.078125
2018,Maine,46.26875,51550.1875,28983.25
2018,Maryland,40.94583333333333,74890.70833333333,36541.666666666664
2018,Massachusetts,41.69285714285714,74596.28571428571,40222.42857142857
2018,Michigan,44.575903614457836,49833.4578313253,26889.590361445782
2018,Minnesota,41.85862068965517,59563.942528735635,30827.471264367818
2018,Mississippi,38.43048780487805,38334.45121951219,20906.963414634145
2018,Missouri,41.38173913043478,46124.93043478261,23987.2
2018,Montana,44.598214285714285,49172.32142857143,28069.071428571428
2018,Nebraska,43.395698924731185,53038.52688172043,28545.913978494624
2018,Nevada,43.46470588235294,59864.82352941176,29034.176470588234
2018,New Hampshire,44.31,67438.2,35540.2
2018,New Jersey,41.07142857142857,79847.71428571429,40226.0
2018,New Mexico,41.53030303030303,42355.8125,23747.6875
2018,New York,41.49677419354839,60464.596774193546,31265.774193548386
2018,North Carolina,42.485,46391.68,25416.22
2018,North Dakota,42.99811320754717,61290.018867924526,34672.0
2018,Ohio,40.913636363636364,53750.60227272727,27505.06818181818
2018,Oklahoma,39.3064935064935,47482.545454545456,24470.79220779221
2018,Oregon,43.84444444444445,51121.88888888889,27690.11111111111
2018,Pennsylvania,43.13731343283582,55204.20895522388,28892.432835820895
2018,Puerto Rico,40.84743589743589,18923.628205128207,10632.48717948718
2018,Rhode Island,42.96,71914.4,39690.8
2018,South Carolina,41.160869565217396,43901.13043478261,24047.347826086956
2018,South Dakota,40.5030303030303,52473.106060606064,28077.515151515152
2018,Tennessee,41.997894736842106,44977.2,24283.242105263158
2018,Texas,39.10275590551181,51465.12204724409,25497.251968503937
2018,Utah,34.40689655172414,60981.862068965514,25467.793103448275
2018,Vermont,44.81428571428571,57767.5,31966.0
2018,Virginia,41.954887218045116,58501.29323308271,30125.812030075187
2018,Washington,41.94102564102564,56904.38461538462,29278.846153846152
2018,West Virginia,44.029090909090904,42918.65454545455,23670.254545454547
2018,Wisconsin,43.422222222222224,56147.48611111111,29772.25
2018,Wyoming,40.095652173913045,59880.86956521739,31455.08695652174
2019,Alabama,40.80149253731343,43574.850746268654,24049.149253731342
2019,Alaska,37.279310344827586,67789.3448275862,33072.89655172414
2019,Arizona,40.626666666666665,48989.933333333334,24500.266666666666
2019,Arkansas,41.61066666666667,42236.706666666665,23285.04
2019,California,39.88965517241379,67713.60344827586,33798.620689655174
2019,Colorado,42.471875,58794.796875,31972.546875
2019,Connecticut,41.825,79201.375,42480.5
2019,Delaware,41.9,65988.0,33956.0
2019,District of Columbia,34.0,86420.0,56147.0
2019,Florida,43.76119402985075,51290.22388059701,27563.283582089553
2019,Georgia,39.92201257861635,47229.6855345912,24484.43396226415
2019,Hawaii,44.36,76428.6,36972.0
2019,Idaho,40.28636363636363,50921.704545454544,25463.477272727272
2019,Illinois,41.9,56656.294117647056,29364.098039215685
2019,Indiana,40.346739130434784,55866.59782608696,28021.25
2019,Iowa,41.900000000000006,57259.606060606064,30429.030303030304
2019,Kansas,41.39047619047619,52864.68571428571,27615.295238095237
2019,Kentucky,40.973333333333336,44882.21666666667,24117.466666666667
2019,Louisiana,38.053125,44874.015625,24386.296875
2019,Maine,46.4625,53568.75,30126.5625
2019,Maryland,41.06666666666667,77541.625,38085.416666666664
2019,Massachusetts,41.92857142857143,77745.57142857143,42183.07142857143
2019,Michigan,44.78072289156627,51808.34939759036,28080.843373493975
2019,Minnesota,41.88045977011494,61656.48275862069,31850.701149425287
2019,Mississippi,38.74878048780488,39613.07317073171,21758.451219512193
2019,Missouri,41.50260869565218,48096.11304347826,24973.565217391304
2019,Montana,44.783928571428575,50983.94642857143,28931.928571428572
2019,Nebraska,43.21612903225807,54695.021505376346,29498.56989247312
2019,Nevada,43.95882352941176,60119.64705882353,30188.70588235294
2019,New Hampshire,44.54,69308.2,36819.6
2019,New Jersey,41.233333333333334,82887.14285714286,42013.76190476191
2019,New Mexico,41.73939393939394,43722.969696969696,24620.21212121212
2019,New York,41.63225806451613,62484.6129032258,32578.41935483871
2019,North Carolina,42.721000000000004,48419.49,26640.94
2019,North Dakota,42.847169811320754,62475.3962264151,34891.84905660377
2019,Ohio,41.03068181818182,55800.23863636364,28652.204545454544
2019,Oklahoma,39.4051948051948,48710.72727272727,25253.376623376622
2019,Oregon,43.94444444444444,53953.11111111111,28958.13888888889
2019,Pennsylvania,43.34477611940299,57056.08955223881,30052.68656716418
2019,Puerto Rico,41.656410256410254,19300.02564102564,11067.884615384615
2019,Rhode Island,43.08,76114.4,41684.0
2019,South Carolina,41.43260869565218,45608.32608695652,25193.478260869564
2019,South Dakota,40.42727272727272,54278.545454545456,28913.60606060606
2019,Tennessee,42.12421052631579,47167.0,25324.894736842107
2019,Texas,39.23543307086614,52847.5905511811,26280.503937007874
2019,Utah,34.57586206896552,63059.58620689655,26673.827586206895
2019,Vermont,44.99285714285714,59759.78571428572,33184.5
2019,Virginia,42.13609022556391,60756.73684210526,31250.18045112782
2019,Washington,42.146153846153844,59393.46153846154,30986.25641025641
2019,West Virginia,44.36545454545455,44892.236363636366,24691.836363636365
2019,Wisconsin,43.65694444444445,58305.86111111111,31034.36111111111
2019,Wyoming,40.44347826086957,61828.65217391304,32161.782608695652
